,ADDRESS_CITY,ADDRESS_NAME,ADDRESS_STATE,ADDRESS_STR1,ADDRESS_STR2,ADDRESS_ZIP,AGCYTYPE,CITY,COMMENT,CONGDIST1,CONGDIST2_18,COUNTY,COUNTYNAME,CSLLEA08_FULLTIME_CIVILIAN,CSLLEA08_FULLTIME_SWORN,CSLLEA08_ID_x,CSLLEA08_ID_y,CSLLEA08_PARTTIME_CIVILIAN,CSLLEA08_PARTTIME_SWORN,CSLLEA_SUB,DISTNAME,FCOUNTY,FIPS_COUNTY,FIPS_ST,FIPS_x,FIPS_y,FPLACE,FSTATE,GOVID,INTPTLAT,INTPTLONG,LEAR_FULLTIME_SWORN,LEAR_ID,LEAR_PARTTIME_SWORN,LEMAS13_FULLTIME_CIVILIAN,LEMAS13_FULLTIME_SWORN,LEMAS13_PARTTIME_CIVILIAN,LEMAS13_PARTTIME_SWORN,LEMAS_ID,LG_NAME,LG_POPULATION,NAME_x,NAME_y,NO_POLICING,Name,ORI7_x,ORI7_y,ORI9,ORI9_x,ORI9_y,PARTOF,PE14_DIVISION_REGION,PE14_FEMALE_CIVILIANS,PE14_FEMALE_OFFICERS,PE14_FEMALE_TOTAL,PE14_MALE_CIVILIANS,PE14_MALE_OFFICERS,PE14_MALE_TOTAL,PE14_MSA,PE14_POPULATION,PE14_TOTAL_EMPLOYEES,REPORT_FLAG,SAMPTYPE,SOURCE,SOURCE_CSLLEA2008,SOURCE_NCIC2012,SOURCE_UCR2010,SOURCE_UCR2011,SOURCE_UCR2012,SOURCE_VENDOR,STATE,STATENAME,STREET_ADDRESS,SUBTYPE1,SUBTYPE2,UA,UANAME,U_CNTY,U_POPGRP,U_STATENO,U_TPOP,ZIP
10,NEWARK,STATE POLICE: ESSEX COUNTY,NJ, , ,07102,5.0,, ,7.0,08 10 11,,ESSEX,,,-1.0,,,,0.0,District of New Jersey,13.0,13.0,34.0,34013.0,,99013.0,34.0,310000000.0,40.787216,-74.246136,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: ESSEX COUNTY,,,STATE POLICE ESSEX COUNTY,NJ007SP,,,NJ007SP,NJ007SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,7.0,9D,29.0,0.0,
11,SALEM,STATE POLICE: SALEM COUNTY,NJ, , ,08079,5.0,, ,2.0, ,,SALEM,,,-1.0,,,,0.0,District of New Jersey,33.0,33.0,34.0,34033.0,,99033.0,34.0,310000000.0,39.573828,-75.357356,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: SALEM COUNTY,,,STATE POLICE SALEM COUNTY,NJ017SP,,,NJ017SP,NJ017SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,17.0,9B,29.0,26684.0,
12,WOODBURY,STATE POLICE:GLOUCESTER COUNTY,NJ, , ,08096,5.0,, ,1.0,02,,GLOUCESTER,,,-1.0,,,,0.0,District of New Jersey,15.0,15.0,34.0,34015.0,,99015.0,34.0,310000000.0,39.721019,-75.143708,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: GLOUCESTER COUNTY,,,STATE POLICE GLOUCESTER CO,NJ008SP,,,NJ008SP,NJ008SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,8.0,9D,29.0,0.0,
13,HACKETTSTOWN,STATE POLICE: WARREN COUNTY,NJ, , ,07840,5.0,, ,5.0,07,,WARREN,,,-1.0,,,,0.0,District of New Jersey,41.0,41.0,34.0,34041.0,,99041.0,34.0,310000000.0,40.853524,-75.009542,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: WARREN COUNTY,,,STATE POLICE WARREN COUNT,NJ021SP,,,NJ021SP,NJ021SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,21.0,9B,29.0,26965.0,
14,MOORESTOWN,STATE POLICE: BURLINGTON CNTY,NJ, , ,08057,5.0,, ,1.0,02 03,,BURLINGTON,,,-1.0,,,,0.0,District of New Jersey,5.0,5.0,34.0,34005.0,,99005.0,34.0,310000000.0,39.875786,-74.663006,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: BURLINGTON COUNTY,,,STATE POLICE BURLINGTON CO,NJ003SP,,,NJ003SP,NJ003SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,3.0,9B,29.0,34972.0,
15,SOMERVILLE,STATE POLICE: SOMERSET COUNTY,NJ, , ,08807,5.0,, ,7.0,12,,SOMERSET,,,-1.0,,,,0.0,District of New Jersey,35.0,35.0,34.0,34035.0,,99035.0,34.0,310000000.0,40.565522,-74.61993,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: SOMERSET COUNTY,,,STATE POLICE SOMERSET COUN,NJ018SP,,,NJ018SP,NJ018SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,18.0,9D,29.0,1111.0,
16,CAMDEN,STATE POLICE: CAMDEN COUNTY,NJ, , ,08101,5.0,, ,1.0,02,,CAMDEN,,,-1.0,,,,0.0,District of New Jersey,7.0,7.0,34.0,34007.0,,99007.0,34.0,310000000.0,39.802352,-74.961251,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: CAMDEN COUNTY,,,STATE POLICE CAMDEN COUNT,NJ004SP,,,NJ004SP,NJ004SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,4.0,9D,29.0,0.0,
17,JERSEY CITY,STATE POLICE: HUDSON COUNTY,NJ, , ,07303,5.0,, ,8.0,09 10,,HUDSON,,,-1.0,,,,0.0,District of New Jersey,17.0,17.0,34.0,34017.0,,99017.0,34.0,310000000.0,40.731384,-74.078627,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: HUDSON COUNTY,,,STATE POLICE HUDSON COUNT,NJ009SP,,,NJ009SP,NJ009SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,9.0,9D,29.0,0.0,
18,ASBURY PARK,STATE POLICE: MONMOUTH COUNTY,NJ, , ,07712,5.0,, ,4.0,06,,MONMOUTH,,,-1.0,,,,0.0,District of New Jersey,25.0,25.0,34.0,34025.0,,99025.0,34.0,310000000.0,40.287056,-74.152446,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: MONMOUTH COUNTY,,,STATE POLICE MONMOUTH COU,NJ013SP,,,NJ013SP,NJ013SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,13.0,9C,29.0,20942.0,
19,TOMS RIVER,STATE POLICE: OCEAN COUNTY,NJ, , ,08753,5.0,, ,2.0,03 04,,OCEAN,,,-1.0,,,,0.0,District of New Jersey,29.0,29.0,34.0,34029.0,,99029.0,34.0,310000000.0,39.865669,-74.258864,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: OCEAN COUNTY,,,STATE POLICE OCEAN COUNTY,NJ015SP,,,NJ015SP,NJ015SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,15.0,9D,29.0,1619.0,
20,MORRISTOWN,STATE POLICE: MORRIS COUNTY,NJ, , ,07960,5.0,, ,7.0,11,,MORRIS,,,-1.0,,,,0.0,District of New Jersey,27.0,27.0,34.0,34027.0,,99027.0,34.0,310000000.0,40.858581,-74.547427,,,,,,,,-1.0,State of New Jersey,888888888.0,SP: MORRIS COUNTY,,,STATE POLICE MORRIS COUNTY,NJ014SP,,,NJ014SP,NJ014SP00,1.0,,,,,,,,,,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,888.0,888.0,-1.0,_Not a Census place,14.0,9D,29.0,1535.0,
0,STEWARTSVILLE,GREENWICH TOWNSHIP POLICE,NJ,321 GREENWICH STREET, ,08886,0.0,Stewartsville, ,7.0, ,WARREN,WARREN,1,11,12103200.0,12103200.0,3,0,1.0,District of New Jersey,41.0,41.0,34.0,34041.0,34041,28260.0,34.0,313021005.0,40.853524,-75.009542, ,644692.0, , , , , ,-1.0,GREENWICH TOWNSHIP,5712.0,GREENWICH TOWNSHIP POLICE,GREENWICH TOWNSHIP POLICE,False,GREENWICH TWP PD,NJ02107,NJ02107,NJ0210700,,,0.0,2,0,0,0,0,10,10,027,5583,10,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,321 GREENWICH ST,888.0,888.0,-1.0,_Not a Census place,21.0,6,29.0,5720.0,8886
1,NEWARK,ESSEX COUNTY COLLEGE POLICE,NJ,303 UNIVERSITY AVENUE, ,07102,6.0,, ,7.0,08 10 11,,ESSEX,,,13846480.0,,,,1.0,District of New Jersey,13.0,13.0,34.0,34013.0,,99013.0,34.0,311007007.0,40.787216,-74.246136,,,,,,,,-1.0,ESSEX COUNTY,888888888.0,ESSEX COUNTY COLLEGE POLICE,,,ESSEX COUNTY COLLEGE PD,NJ00731,,NJ0073100,,,0.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,1.0,12.0,-1.0,_Not a Census place,7.0,7,29.0,0.0,
2,BEACH HAVEN,BEACH HAVEN POLICE,NJ,300 ENGLESIDE AVENUE, ,08008,0.0,Beach Haven, ,2.0, ,OCEAN,OCEAN,2,10,12823320.0,12823320.0,4,0,1.0,District of New Jersey,29.0,29.0,34.0,34029.0,34029,3940.0,34.0,312015003.0,39.865669,-74.258864, ,644505.0, , , , , ,3.12015003026e+15,BEACH HAVEN BOROUGH,1170.0,BEACH HAVEN POLICE,BEACH HAVEN POLICE,False,BEACH HAVEN PD,NJ01503,NJ01503,NJ0150300,,,0.0,2,1,1,2,1,10,11,607,1178,13,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,300 ENGLESIDE AVE,888.0,888.0,63217.0,"New York--Newark, NY--NJ--CT Urbanized Area",15.0,7,29.0,1185.0,08008
3,OAKHURST,OCEAN TOWNSHIP POLICE,NJ,399 MONMOUTH ROAD, ,07755,0.0,Oakhurst, ,4.0, ,MONMOUTH,MONMOUTH,15,63,12203150.0,12203150.0,4,0,1.0,District of New Jersey,25.0,25.0,34.0,34025.0,34009,54270.0,34.0,313013011.0,40.287056,-74.152446, ,644917.0, , , , , ,3.13013011026e+15,OCEAN TOWNSHIP,27291.0,OCEAN TOWNSHIP POLICE,OCEAN TOWNSHIP POLICE,False,OCEAN TWP PD,NJ01337,NJ01337,NJ0133700,,,0.0,2,7,3,10,7,56,63,607,27240,73,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,399 MONMOUTH RD,888.0,888.0,-1.0,_Not a Census place,13.0,4,29.0,27454.0,07755
4,RIDGEFIELD PARK,RIDGEFIELD PARK POLICE,NJ,234 MAIN STREET, ,07660,0.0,Ridgefield Park, ,9.0, ,BERGEN,BERGEN,9,31,12743060.0,12743060.0,28,0,1.0,District of New Jersey,3.0,3.0,34.0,34003.0,34003,62940.0,34.0,312002048.0,40.959648,-74.07486, ,644978.0, , , , , ,3.12002048026e+15,RIDGEFIELD PARK VILLAGE,12729.0,RIDGEFIELD PARK POLICE,RIDGEFIELD PARK VILLAGE POLICE,False,RIDGEFIELD PARK PD,NJ00250,NJ00250,NJ0025000,,,0.0,2,2,1,3,5,29,34,607,12990,37,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,234 MAIN ST,888.0,888.0,63217.0,"New York--Newark, NY--NJ--CT Urbanized Area",2.0,5,29.0,12875.0,07660
5,ELMER,ELMER BOROUGH POLICE,NJ,120 SOUTH MAIN STREET,P.O. BOX 882,08318,0.0,ELMER, ,2.0, ,SALEM,SALEM,0,2,11973280.0,11973280.0,0,4,1.0,District of New Jersey,33.0,33.0,34.0,34033.0,34033,21240.0,34.0,312017001.0,39.573828,-75.357356, ,644633.0, , , , , ,-1.0,ELMER BOROUGH,1395.0,ELMER BOROUGH POLICE,ELMER BOROUGH POLICE,False,ELMER BORO PD,NJ01702,NJ01702,NJ0170200,,,0.0,2,0,0,0,0,2,2,661,1364,2,1.0,3.0,"CSLLEA14,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,120 S MAIN ST P O BOX 882,888.0,888.0,90730.0,"Vineland, NJ Urbanized Area",17.0,7,29.0,1398.0,08318
6,BERNARDSVILLE,BERNARDSVILLE POLICE DEPARTMENT,NJ,166 MINEBROOK ROAD, ,07924,0.0,BERNARDSVILLE, ,7.0, ,SOMERSET,SOMERSET,6,17,12203210.0,12203210.0,21,0,1.0,District of New Jersey,35.0,35.0,34.0,34035.0,34035,5590.0,34.0,312018001.0,40.565522,-74.61993, ,644524.0, , , , , ,-1.0,BERNARDSVILLE BOROUGH,7707.0,BERNARDSVILLE POLICE DEPARTMENT,BERNARDSVILLE POLICE,False,BERNARDSVILLE PD,NJ01803,NJ01803,NJ0180300,,,0.0,2,1,0,1,4,18,22,605,7776,23,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,166 MINE BROOK RD,888.0,888.0,63217.0,"New York--Newark, NY--NJ--CT Urbanized Area",18.0,6,29.0,7779.0,07924
7,MEDFORD,MEDFORD TOWNSHIP POLICE,NJ,91 UNION STREET, ,08055,0.0,Medford, ,3.0, ,BURLINGTON,BURLINGTON,12,47,12883160.0,12883160.0,2,0,1.0,District of New Jersey,5.0,5.0,34.0,34005.0,34005,45120.0,34.0,313003016.0,39.875786,-74.663006, ,644824.0, , , , , ,3.13003016026e+15,MEDFORD TOWNSHIP,23033.0,MEDFORD TOWNSHIP POLICE,MEDFORD TOWNSHIP POLICE,False,MEDFORD TWP PD,NJ00321,NJ00321,NJ0032100,,,0.0,2,4,1,5,0,28,28,654,23343,33,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,91 UNION ST,888.0,888.0,-1.0,_Not a Census place,3.0,5,29.0,23191.0,08055
8,TRENTON,NEW JERSEY DIVISION OF FISH & WILDLIFE,NJ,PO BOX 400, ,08625,6.0,, ,12.0, ,,MERCER,,,13805880.0,,,,1.0,District of New Jersey,21.0,21.0,34.0,34021.0,,74000.0,34.0,310000000.0,40.282503,-74.703724,,,,,,,,3.1000000002e+15,State of New Jersey,888888888.0,NEW JERSEY DIVISION OF FISH & WILDLIFE,,,"NJ DIVISION OF FISH, GAME & W",NJ01117,,NJ0111700,,,0.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,,NEW JERSEY,,2.0,21.0,88462.0,"Trenton, NJ Urbanized Area",-2.0,7,29.0,0.0,
9,STRATFORD,STRATFORD BOROUGH POLICE,NJ,315 UNION AVENUE, ,08084,0.0,Stratford, ,1.0, ,CAMDEN,CAMDEN,1,15,11433070.0,11433070.0,0,1,1.0,District of New Jersey,7.0,7.0,34.0,34007.0,34007,71220.0,34.0,312004027.0,39.802352,-74.961251, ,645051.0, , , , , ,3.12004027026e+15,STRATFORD BOROUGH,7040.0,STRATFORD BOROUGH POLICE,STRATFORD BOROUGH POLICE,False,STRATFORD BORO PD,NJ00432,NJ00432,NJ0043200,,,0.0,2,2,0,2,0,16,16,654,6943,18,1.0,3.0,"CSLLEA14,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,315 UNION AVE,888.0,888.0,69076.0,"Philadelphia, PA--NJ--DE--MD Urbanized Area",4.0,6,29.0,7070.0,08084
10,BERGENFIELD,BERGENFIELD POLICE,NJ,198 NORTH WASHINGTON AVENUE, ,07621,0.0,BERGENFIELD, ,5.0, ,BERGEN,BERGEN,8,43,12323330.0,12323330.0,3,0,1.0,District of New Jersey,3.0,3.0,34.0,34003.0,34003,5170.0,34.0,312002003.0,40.959648,-74.07486, ,644516.0, ,8,45,3,0,3.12002003026e+15,BERGENFIELD BOROUGH,26764.0,BERGENFIELD POLICE,BERGENFIELD POLICE,False,BERGENFIELD PD,NJ00203,NJ00203,NJ0020300,,,0.0,2,5,2,7,3,43,46,607,27326,53,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,198 N WASHINGTON AVE,888.0,888.0,63217.0,"New York--Newark, NY--NJ--CT Urbanized Area",2.0,4,29.0,27072.0,07621
11,WILLIAMSTOWN,MONROE TOWNSHIP POLICE,NJ,125 VIRGINIA AVENUE, ,08094,0.0,WILLIAMSTOWN, ,1.0, ,GLOUCESTER,GLOUCESTER,7,66,12813100.0,12813100.0,1,0,1.0,District of New Jersey,15.0,15.0,34.0,34015.0,34015,47250.0,34.0,313008009.0,39.721019,-75.143708, ,644848.0, ,6,60,0,0,3.13008009026e+15,MONROE TOWNSHIP,36129.0,MONROE TOWNSHIP POLICE,MONROE TOWNSHIP POLICE,False,MONROE TWP PD,NJ00811,NJ00811,NJ0081100,,,0.0,2,6,1,7,0,68,68,654,36933,75,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,125 VIRGINIA AVE,888.0,888.0,-1.0,_Not a Census place,8.0,4,29.0,36410.0,08094
12,NORTH ARLINGTON,NORTH ARLINGTON POLICE,NJ,214 RIDGE ROAD, ,07031,0.0,NORTH ARLINGTON, ,9.0, ,BERGEN,BERGEN,7,31,12253110.0,12253110.0,6,0,1.0,District of New Jersey,3.0,3.0,34.0,34003.0,34003,52320.0,34.0,312002037.0,40.959648,-74.07486, ,644896.0, , , , , ,-1.0,NORTH ARLINGTON BOROUGH,15392.0,NORTH ARLINGTON POLICE,NORTH ARLINGTON POLICE,False,NORTH ARLINGTON PD,NJ00239,NJ00239,NJ0023900,,,0.0,2,2,0,2,4,28,32,607,15711,34,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,214 RIDGE ROAD,888.0,888.0,63217.0,"New York--Newark, NY--NJ--CT Urbanized Area",2.0,5,29.0,15570.0,07031
13,PISCATAWAY,PISCATAWAY TOWNSHIP POLICE,NJ,555 SIDNEY ROAD, ,08854,0.0,Piscataway, ,6.0, ,MIDDLESEX,MIDDLESEX,20,90,12543080.0,12543080.0,0,8,1.0,District of New Jersey,23.0,23.0,34.0,34023.0,34023,59010.0,34.0,313012006.0,40.439593,-74.407585, ,644955.0, , , , , ,3.13012006026e+15,PISCATAWAY TOWNSHIP,56044.0,PISCATAWAY TOWNSHIP POLICE,PISCATAWAY TOWNSHIP POLICE,False,PISCATAWAY TWP PD,NJ01217,NJ01217,NJ0121700,,,0.0,2,14,7,21,6,79,85,607,59089,106,1.0,3.0,"CSLLEA14,POST,CSLLEA08,LEAIC",1.0,1.0,1.0,1.0,1.0,1.0,NJ,NEW JERSEY,555 SIDNEY RD,888.0,888.0,-1.0,_Not a Census place,12.0,3,29.0,56593.0,08854
